City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,11.53,89,100,15.28,SH,1723137524
1,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,67,75,4.0,RU,1723137524
2,rudbar,30.15,62.6,37.58,9,0,2.87,AF,1723137524
3,lihue,21.9789,-159.3672,24.77,81,40,4.12,US,1723137524
4,adamstown,-25.066,-130.1015,21.25,72,94,9.03,PN,1723137525
5,puerto ayora,-0.7393,-90.3518,19.75,95,100,3.58,EC,1723137525
6,charters towers,-20.1,146.2667,15.83,87,77,4.83,AU,1723137525
7,port-aux-francais,-49.35,70.2167,1.35,71,99,11.55,TF,1723137525
8,bilibino,68.0546,166.4372,4.45,71,85,2.08,RU,1723137287
9,formosa,-26.1775,-58.1781,17.76,44,26,3.58,AR,1723137525
10,polyarnyy,69.1989,33.4478,19.23,51,94,4.68,RU,1723137525
11,waitangi,-43.9535,-176.5597,7.68,95,81,6.96,NZ,1723137525
12,cardigan,52.0847,-4.6591,17.59,97,100,8.2,GB,1723137525
13,puerto natales,-51.7236,-72.4875,11.25,62,40,1.03,CL,1723137377
14,portland,45.5234,-122.6762,25.33,65,20,0.89,US,1723137421
15,ghat,24.9647,10.1728,38.97,7,7,7.2,LY,1723137526
16,whitehorse,60.7161,-135.0538,19.43,52,0,5.66,CA,1723137526
17,sabang,5.8933,95.3214,28.38,77,100,1.82,ID,1723137526
18,college,64.8569,-147.8028,16.99,84,100,1.54,US,1723137265
19,klyuchi,52.2667,79.1667,19.13,82,74,1.9,RU,1723137526
20,alaghsas,17.0187,8.0168,33.94,46,20,6.17,NE,1723137526
21,laranjeiras do sul,-25.4078,-52.4161,15.52,97,100,2.45,BR,1723137526
22,saint-philippe,-21.3585,55.7679,21.3,78,83,5.65,RE,1723137526
23,thompson,55.7435,-97.8558,17.09,51,40,5.14,CA,1723137526
24,yellowknife,62.456,-114.3525,19.67,65,20,7.2,CA,1723137371
25,blackmans bay,-43.0167,147.3167,8.74,81,100,1.79,AU,1723137527
26,coyhaique,-45.5752,-72.0662,4.95,94,100,3.45,CL,1723137317
27,shalqar,47.8333,59.6,25.42,49,79,5.25,KZ,1723137527
28,east london,-33.0153,27.9116,17.52,94,40,5.66,ZA,1723137527
29,invercargill,-46.4,168.35,4.45,97,100,0.45,NZ,1723137527
30,olonkinbyen,70.9221,-8.7187,5.23,99,100,2.35,SJ,1723137446
31,kodiak,57.79,-152.4072,12.73,88,75,2.06,US,1723137527
32,kourou,5.1552,-52.6478,30.56,63,45,4.11,GF,1723137527
33,filadelfia,39.9523,-75.1638,23.94,96,100,5.66,US,1723137251
34,badger,64.8,-147.5333,16.95,88,100,1.54,US,1723137527
35,fort mcmurray,56.7268,-111.381,21.73,52,0,2.06,CA,1723137527
